uncompressed_offset_hex,uncompressed_offset,shared_matrix_bytes,first_difference_from_first_copy,first_2880_sha256,block_8192_sha256
0x3B08AE80,990424704,2880,-1,e419bc5155080daaf4a27f76e3ce6c48649c660569b17e89f992241dd05e3099,0fee17a46851ca2280c7a364d91ee37675acace43ca32e1fce11be8a100180f2
0x3B0A3480,990524544,2880,2880,e419bc5155080daaf4a27f76e3ce6c48649c660569b17e89f992241dd05e3099,b5beb5e5f579ed0ffc2550b561afa08b2d151dd36be52a25c96584944641ac6e
0x3B0A5500,990532864,2880,2880,e419bc5155080daaf4a27f76e3ce6c48649c660569b17e89f992241dd05e3099,4d4a05602f3dea5a571f11888d0746a1651ec047f7089cd5dc19651f113dfc4d
0x3B0B3880,990591104,2880,2880,e419bc5155080daaf4a27f76e3ce6c48649c660569b17e89f992241dd05e3099,7828dc8f4c992bf58e5693088703a8c1c86202c76b61d8e6a43faed2294a0443
0x3B0B5900,990599424,2880,2880,e419bc5155080daaf4a27f76e3ce6c48649c660569b17e89f992241dd05e3099,4406c1808bd56a6f49438323ac45c2a851157473bb8a327d669ce3fe3e693d97
